TICKER,Authority,Calamity,Call,Childhood,Civilians,Civilization,Complex,Confront,Cycles,Death,Defcon,Destruction,Development,Doomsday,Dreamers,Duty,Eroticism,Forget,God,History,Indians,Jack,Japan,Justice,Land,Launch,Malfunction,Man,Nature,Normality,Nukes,Others,Russians,Scientists,Time,War
21,-0.01910341,-0.04038807,10.95907,-0.01910341,-0.01910341,-0.01910341,-0.01910341,-0.01910341,-0.01910341,-0.01910341,-0.01910341,-0.01910341,-0.01910341,-0.01910341,-0.01910341,-0.01910341,-0.01910341,-0.01910341,-0.01910341,-0.05739402,-0.01910341,-0.01910341,-0.01910341,-0.01910341,-0.01910341,-0.07015754,-0.01910341,-0.04463049,-0.1042421,-0.01910341,-0.04463049,-0.01910341,-0.01910341,-0.01910341,-0.04463049,-0.03186695
22,-0.01971371,-0.04111224,14.02817,-0.01971371,-0.01971371,-0.01971371,-0.01971371,-0.01971371,-0.01971371,-0.01971371,-0.01971371,-0.01971371,-0.01971371,-0.01971371,-0.01971371,-0.01971371,-0.01971371,-0.01971371,-0.01971371,-0.05850883,-0.01971371,-0.01971371,-0.01971371,-0.01971371,-0.01971371,-0.07144048,-0.01971371,-0.04557712,-0.1053078,-0.01971371,-0.04557712,-0.01971371,-0.01971371,-0.01971371,-0.04557712,-0.03264542
23,-0.02071371,-0.04330224,14.02717,-0.02071371,-0.02071371,-0.02071371,-0.02071371,-0.02071371,-0.02071371,-0.02071371,-0.02071371,-0.02071371,-0.02071371,-0.02071371,-0.02071371,-0.02071371,-0.02071371,-0.02071371,-0.02071371,-0.06160883,-0.02071371,-0.02071371,-0.02071371,-0.02071371,-0.02071371,-0.07524047,-0.02071371,-0.04797712,-0.1110678,-0.02071371,-0.04797712,-0.02071371,-0.02071371,-0.02071371,-0.04797712,-0.03434541
24,-0.02150107,-0.04469701,14.67288,-0.02150107,-0.02150107,-0.02150107,-0.02150107,-0.02150107,-0.02150107,-0.02150107,-0.02150107,-0.02150107,-0.02150107,-0.02150107,-0.02150107,-0.02150107,-0.02150107,-0.02150107,-0.02150107,-0.0636301,-0.02150107,-0.02150107,-0.02150107,-0.02150107,-0.02150107,-0.07767306,-0.02150107,-0.0495871,-0.1142848,-0.02150107,-0.0495871,-0.02150107,-0.02150107,-0.02150107,-0.0495871,-0.03554409
25,-0.02228606,-0.04608587,14.52515,-0.02228606,-0.02228606,-0.02228606,-0.02228606,-0.02228606,-0.02228606,-0.02228606,-0.02228606,-0.02228606,-0.02228606,-0.02228606,-0.02228606,-0.02228606,-0.02228606,-0.02228606,-0.02228606,-0.06564227,-0.02228606,-0.02228606,-0.02228606,-0.02228606,-0.02228606,-0.08009429,-0.02228606,-0.05119021,-0.1174853,-0.02228606,-0.05119021,-0.02228606,-0.02228606,-0.02228606,-0.05119021,-0.03673813
26,-0.02328606,-0.04827586,14.52415,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.06874226,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.08389428,-0.02328606,-0.05359021,-0.1232453,-0.02328606,-0.05359021,-0.02328606,-0.02328606,-0.02328606,-0.05359021,-0.03843813
27,-0.02328606,-0.04827586,14.52415,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.06874226,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.02328606,-0.08389428,-0.02328606,-0.05359021,-0.1232453,-0.02328606,-0.05359021,-0.02328606,-0.02328606,-0.02328606,-0.05359021,-0.03843813
28,-0.02380334,-0.0486742,14.23448,-0.02380334,-0.02380334,-0.02380334,-0.02380334,-0.02380334,-0.02380334,-0.02380334,-0.02380334,-0.02380334,-0.02380334,-0.02380334,-0.02380334,-0.02380334,-0.02380334,-0.02380334,-0.02380334,-0.06940688,-0.02380334,-0.02380334,-0.02380334,-0.02380334,-0.02380334,2.378309,3.547757,-0.05420573,-0.1232868,-0.02380334,-0.05420573,-0.02380334,-0.02380334,-0.02380334,-0.05420573,-0.03900454
29,-0.02470413,-0.05049816,14.17655,-0.02470413,-0.02470413,-0.02470413,-0.02470413,-0.02470413,-0.02470413,-0.02470413,-0.02470413,-0.02470413,-0.02470413,-0.02470413,-0.02470413,-0.02470413,-0.02470413,-0.02470413,-0.02470413,-0.07200851,-0.02470413,-0.02470413,-0.02470413,-0.02470413,-0.02470413,2.834875,4.220456,-0.05624041,-0.1278803,-0.02470413,-0.05624041,-0.02470413,-0.02470413,-0.02470413,-0.05624041,-0.04047227
30,-0.02570413,-0.05268816,14.17555,-0.02570413,-0.02570413,-0.02570413,-0.02570413,-0.02570413,-0.02570413,-0.02570413,-0.02570413,-0.02570413,-0.02570413,-0.02570413,-0.02570413,-0.02570413,-0.02570413,-0.02570413,-0.02570413,-0.0751085,-0.02570413,-0.02570413,-0.02570413,-0.02570413,-0.02570413,2.831075,4.219456,-0.05864041,-0.1336403,-0.02570413,-0.05864041,-0.02570413,-0.02570413,-0.02570413,-0.05864041,-0.04217227
31,-0.0265439,-0.05428611,14.0895,-0.0265439,-0.0265439,-0.0265439,-0.0265439,-0.0265439,-0.0265439,-0.0265439,-0.0265439,-0.0265439,-0.0265439,-0.0265439,-0.0265439,-0.0265439,-0.0265439,-0.0265439,-0.0265439,-0.07740278,-0.0265439,-0.0265439,-0.0265439,-0.0265439,-0.0265439,3.370045,5.022602,-0.06044985,-0.1375127,-0.0265439,-0.06044985,-0.0265439,-0.0265439,-0.0265439,-0.06044985,-0.04349688
32,-0.02726846,-0.05546,13.94762,-0.02726846,-0.02726846,-0.02726846,-0.02726846,-0.02726846,-0.02726846,-0.02726846,-0.02726846,-0.02726846,-0.02726846,-0.02726846,-0.02726846,-0.02726846,-0.02726846,-0.02726846,-0.02726846,-0.07911932,-0.02726846,-0.02726846,-0.02726846,-0.02726846,-0.02726846,3.9766,5.950693,-0.06183574,-0.1400346,-0.02726846,-0.06183574,-0.02726846,-0.02726846,-0.02726846,-0.06183574,-0.0445521
33,-0.02804277,-0.0568216,13.83527,-0.02804277,-0.02804277,-0.02804277,-0.02804277,-0.02804277,-0.02804277,-0.02804277,-0.02804277,-0.02804277,-0.02804277,-0.02804277,-0.02804277,-0.02804277,-0.02804277,-0.02804277,-0.02804277,-0.08108986,-0.02804277,-0.02804277,-0.02804277,-0.02804277,-0.02804277,4.885233,7.304978,-0.06340753,-0.1431581,-0.02804277,-0.06340753,-0.02804277,-0.02804277,-0.02804277,-0.06340753,-0.04572516
34,-0.02886851,-0.05837295,13.75126,-0.02886851,-0.02886851,-0.02886851,-0.02886851,-0.02886851,-0.02886851,-0.02886851,-0.02886851,-0.02886851,-0.02886851,-0.02886851,-0.02886851,-0.02886851,-0.02886851,-0.02886851,-0.02886851,-0.08331877,-0.02886851,-0.02886851,-0.02886851,-0.02886851,-0.02886851,5.444274,8.154755,-0.06516872,-0.1468863,-0.02886851,-0.06516872,-0.02886851,-0.02886851,-0.02886851,-0.06516872,-0.04701862
35,-0.02946151,-0.05907809,13.5583,-0.02946151,-0.02946151,-0.02946151,-0.02946151,-0.02946151,-0.02946151,-0.02946151,-0.02946151,-0.02946151,-0.02946151,-0.02946151,-0.02946151,-0.02946151,-0.02946151,-0.02946151,-0.02946151,-0.08439095,-0.02946151,-0.02946151,-0.02946151,-0.02946151,-0.02946151,6.368104,9.607183,-0.06608117,-0.1479278,-0.02946151,-0.06608117,-0.02946151,-0.02946151,-0.02946151,-0.06608117,-0.04777135
36,-0.03028474,-0.06062636,13.47595,-0.03028474,-0.03028474,-0.03028474,-0.03028474,-0.03028474,-0.03028474,-0.03028474,-0.03028474,-0.03028474,-0.03028474,-0.03028474,-0.03028474,-0.03028474,-0.03028474,-0.03028474,-0.03028474,-0.08661339,-0.03028474,-0.03028474,-0.03028474,-0.03028474,-0.03028474,6.367617,9.665677,-0.0678372,-0.1516512,-0.03028474,-0.0678372,-0.03028474,-0.03028474,-0.03028474,-0.0678372,-0.04906098
37,-0.03098189,-0.06171827,13.34019,-0.03098189,-0.03098189,-0.03098189,-0.03098189,-0.03098189,-0.03098189,-0.03098189,-0.03098189,-0.03098189,-0.03098189,-0.03098189,-0.03098189,-0.03098189,-0.03098189,-0.03098189,-0.03098189,-0.08821128,-0.03098189,-0.03098189,-0.03098189,-0.03098189,-0.03098189,6.34779,9.733509,-0.06913485,-0.1539273,-0.03098189,-0.06913485,-0.03098189,-0.03098189,-0.03098189,-0.06913485,-0.05005837
38,-0.03198189,-0.06390826,13.33919,-0.03198189,-0.03198189,-0.03198189,-0.03198189,-0.03198189,-0.03198189,-0.03198189,-0.03198189,-0.03198189,-0.03198189,-0.03198189,-0.03198189,-0.03198189,-0.03198189,-0.03198189,-0.03198189,-0.09131127,-0.03198189,-0.03198189,-0.03198189,-0.03198189,-0.03198189,6.343989,9.732509,-0.07153484,-0.1596873,-0.03198189,-0.07153484,-0.03198189,-0.03198189,-0.03198189,-0.07153484,-0.05175837
39,-0.03285396,-0.06563503,13.28483,-0.03285396,-0.03285396,-0.03285396,-0.03285396,-0.03285396,-0.03285396,-0.03285396,-0.03285396,-0.03285396,-0.03285396,-0.03285396,-0.03285396,-0.03285396,-0.03285396,-0.03285396,-0.03285396,-0.09377737,-0.03285396,-0.03285396,-0.03285396,-0.03285396,-0.03285396,6.704471,10.29018,-0.0734696,-0.1639781,-0.03285396,-0.0734696,-0.03285396,-0.03285396,-0.03285396,-0.0734696,-0.05316179
40,-0.03365684,-0.06711136,13.20412,-0.03365684,-0.03365684,-0.03365684,-0.03365684,-0.03365684,-0.03365684,-0.03365684,-0.03365684,-0.03365684,-0.03365684,-0.03365684,-0.03365684,-0.03365684,-0.03365684,-0.03365684,-0.03365684,-0.09590074,-0.03365684,-0.03365684,-0.03365684,-0.03365684,-0.03365684,6.825119,10.52564,-0.07515281,-0.1674747,-0.03365684,-0.07515281,-0.03365684,-0.03365684,-0.03365684,-0.07515281,-0.05440482
41,-0.03465684,-0.06930136,13.20312,-0.03465684,-0.03465684,-0.03465684,-0.03465684,-0.03465684,-0.03465684,-0.03465684,-0.03465684,-0.03465684,-0.03465684,-0.03465684,-0.03465684,-0.03465684,-0.03465684,-0.03465684,-0.03465684,-0.09900074,-0.03465684,-0.03465684,-0.03465684,-0.03465684,-0.03465684,6.821318,10.52464,-0.07755281,-0.1732347,-0.03465684,-0.07755281,-0.03465684,-0.03465684,-0.03465684,-0.07755281,-0.05610482
42,-0.0353051,-0.07021735,13.07041,-0.0353051,-0.0353051,-0.0353051,-0.0353051,-0.0353051,-0.0353051,-0.0353051,-0.0353051,-0.0353051,-0.0353051,-0.0353051,-0.0353051,-0.0353051,-0.0353051,-0.0353051,-0.0353051,-0.1003576,-0.0353051,-0.0353051,-0.0353051,-0.0353051,-0.0353051,5.899327,10.41865,-0.07867348,-0.1749537,-0.0353051,-0.07867348,-0.0353051,-0.0353051,-0.0353051,-0.07867348,-0.05698929
43,-0.03595205,-0.07113326,12.93871,-0.03595205,-0.03595205,-0.03595205,-0.03595205,-0.03595205,-0.03595205,-0.03595205,-0.03595205,-0.03595205,-0.03595205,-0.03595205,-0.03595205,-0.03595205,-0.03595205,-0.03595205,-0.03595205,-0.1017126,-0.03595205,-0.03595205,-0.03595205,-0.03595205,-0.03595205,5.319177,10.31346,-0.07979247,-0.1766765,-0.03595205,-0.07979247,-0.03595205,-0.03595205,-0.03595205,-0.07979247,-0.05787226
44,-0.03695205,-0.07332326,12.93771,-0.03695205,-0.03695205,-0.03695205,-0.03695205,-0.03695205,-0.03695205,-0.03695205,-0.03695205,-0.03695205,-0.03695205,-0.03695205,-0.03695205,-0.03695205,-0.03695205,-0.03695205,-0.03695205,-0.1048126,-0.03695205,-0.03695205,-0.03695205,-0.03695205,-0.03695205,5.315376,10.31246,-0.08219247,-0.1824364,-0.03695205,-0.08219247,-0.03695205,-0.03695205,-0.03695205,-0.08219247,-0.05957226
45,-0.03757344,-0.07414846,12.80765,-0.03757344,-0.03757344,-0.03757344,-0.03757344,-0.03757344,-0.03757344,-0.03757344,-0.03757344,-0.03757344,-0.03757344,-0.03757344,-0.03757344,-0.03757344,-0.03757344,-0.03757344,-0.03757344,-0.1060429,-0.03757344,-0.03757344,-0.03757344,-0.03757344,-0.03757344,6.37671,10.20859,-0.0832198,-0.1838731,-0.03757344,-0.0832198,-0.03757344,-0.03757344,-0.03757344,-0.0832198,-0.06039662
46,-0.03782661,-0.07366817,12.55208,-0.03782661,-0.03782661,-0.03782661,-0.03782661,-0.03782661,-0.03782661,-0.03782661,-0.03782661,-0.03782661,-0.03782661,-0.03782661,-0.03782661,-0.03782661,-0.03782661,-0.03782661,-0.03782661,-0.1054766,-0.03782661,-0.03782661,-0.03782661,-0.03782661,-0.03782661,8.209236,10.00468,-0.08292665,-0.1811923,-0.03782661,-0.08292665,-0.03782661,-0.03782661,-0.03782661,-0.08292665,-0.06037663
47,-0.03844834,-0.07451352,12.42556,-0.03844834,-0.03844834,-0.03844834,-0.03844834,-0.03844834,-0.03844834,-0.03844834,-0.03844834,-0.03844834,-0.03844834,-0.03844834,-0.03844834,-0.03844834,-0.03844834,-0.03844834,-0.03844834,-0.1067275,-0.03844834,-0.03844834,-0.03844834,-0.03844834,-0.03844834,8.940534,9.903636,-0.0839678,-0.1827084,-0.03844834,-0.0839678,-0.03844834,-0.03844834,-0.03844834,-0.0839678,-0.06120808
48,-0.03944834,-0.07670352,12.42456,-0.03944834,-0.03944834,-0.03944834,-0.03944834,-0.03944834,-0.03944834,-0.03944834,-0.03944834,-0.03944834,-0.03944834,-0.03944834,-0.03944834,-0.03944834,-0.03944834,-0.03944834,-0.03944834,-0.1098275,-0.03944834,-0.03944834,-0.03944834,-0.03944834,-0.03944834,8.936733,9.902636,-0.0863678,-0.1884684,-0.03944834,-0.0863678,-0.03944834,-0.03944834,-0.03944834,-0.0863678,-0.06290808
49,-0.04044834,-0.07889353,12.42356,-0.04044834,-0.04044834,-0.04044834,-0.04044834,-0.04044834,-0.04044834,-0.04044834,-0.04044834,-0.04044834,-0.04044834,-0.04044834,-0.04044834,-0.04044834,-0.04044834,-0.04044834,-0.04044834,-0.1129275,-0.04044834,-0.04044834,-0.04044834,-0.04044834,-0.04044834,8.932933,9.901635,-0.0887678,-0.1942283,-0.04044834,-0.0887678,-0.04044834,-0.04044834,-0.04044834,-0.0887678,-0.06460807
50,-0.04144834,-0.08108354,12.42256,-0.04144834,-0.04144834,-0.04144834,-0.04144834,-0.04144834,-0.04144834,-0.04144834,-0.04144834,-0.04144834,-0.04144834,-0.04144834,-0.04144834,-0.04144834,-0.04144834,-0.04144834,-0.04144834,-0.1160275,-0.04144834,-0.04144834,-0.04144834,-0.04144834,-0.04144834,8.929132,9.900635,-0.09116779,-0.1999883,-0.04144834,-0.09116779,-0.04144834,-0.04144834,-0.04144834,-0.09116779,-0.06630807
51,-0.04228254,-0.08268231,12.37187,-0.04228254,-0.04228254,-0.04228254,-0.04228254,-0.04228254,-0.04228254,-0.04228254,-0.04228254,-0.04228254,-0.04228254,-0.04228254,-0.04228254,-0.04228254,-0.04228254,-0.04228254,-0.04228254,-0.1183152,-0.04228254,-0.04228254,-0.04228254,-0.04228254,-0.04228254,9.858243,9.860032,-0.092971,-0.2038807,-0.04228254,-0.092971,-0.04228254,-0.04228254,-0.04228254,-0.092971,-0.06762678
52,-0.04244212,-0.08188714,12.12496,-0.04244212,-0.04244212,-0.04244212,-0.04244212,-0.04244212,-0.04244212,-0.04244212,-0.04244212,-0.04244212,-0.04244212,-0.04244212,-0.04244212,-0.04244212,-0.04244212,-0.04244212,-0.04244212,-0.1173096,-0.04244212,-0.04244212,-0.04244212,-0.04244212,-0.04244212,12.29074,9.663052,-0.09235382,-0.2002212,-0.04244212,-0.09235382,-0.04244212,-0.04244212,-0.04244212,-0.09235382,-0.06739798
53,-0.04218747,-0.08098797,12.05221,-0.04218747,-0.04218747,-0.04218747,-0.04218747,-0.04218747,-0.04218747,-0.04218747,-0.04218747,-0.04218747,-0.04218747,-0.04218747,-0.04218747,-0.04218747,-0.04218747,-0.04218747,-0.04218747,-0.116071,-0.04218747,-0.04218747,-0.04218747,-0.04218747,-0.04218747,12.68665,9.605073,-0.09144319,-0.1973885,-0.04218747,-0.09144319,-0.04218747,-0.04218747,-0.04218747,-0.09144319,-0.06681534
54,-0.04275559,-0.08165497,11.9307,-0.04275559,-0.04275559,-0.04275559,-0.04275559,-0.04275559,-0.04275559,-0.04275559,-0.04275559,-0.04275559,-0.04275559,-0.04275559,-0.04275559,-0.04275559,-0.04275559,-0.04275559,-0.04275559,-0.1170723,-0.04275559,-0.04275559,-0.04275559,-0.04275559,-0.04275559,13.14169,9.508032,-0.09230012,-0.1983521,-0.04275559,-0.09230012,-0.04275559,-0.04275559,-0.04275559,-0.09230012,-0.06752788
